',0
'',10999
'.at,5182
'171,8786
'19,8787
'26,8788
'38,8789
'47.65,5692
'48.75,5693
'50.12,5694
'55.73,5695
'56.39,5696
'56.47,5697
'59.17,5698
'60.32,5699
'60.54,5700
'60.55,5701
'62.08,5702
'62.46,5703
'69.45,5704
'72.43,5705
'abc,5706
'abraham,11000
'achilles,8790
'alabama,5707
'albedo,4358
'aleph,5183
'anarchism,2
'anxiety,2507
'arm,5708
'autism,2508
'barb,5709
'bird,5710
'black,4359
'cbs,5711
'cult,11001
'd,11002
'did,11003
'em,11004
'enemies,3
'epilepsy,2509
'expropriations,4
'folk,8791
'form,5712
'fox,5713
'genetic,2510
'intellectual,2511
'machine,11005
'mental,5
'metabolic,2512
'minor,2513
'narrators,8792
'nbc,5714
'orb,5715
'pbs/alabama,5716
'philosophical,6
'preempted,2514
'presidential,5717
'radicalism,11006
'rail,11007
'river,8793
's,11008
'sleep,2516
'their,11009
'to,11010
'top,5719
'total,5720
'tyrants,8
+0.1,4361
+0.2,4362
+0.4,4363
-based,4364
-class,8795
-dd-,8796
-ism,9
-isma,10
-ismos,11
-izein,12
-ll-,8797
-steps,5721
-wide,5722
-ίζειν,13
-λ-,8798
-λλ-,8799
.,11011
..,5724
...,11012
/boyd/,5726
/ly/,8801
/r/,5727
0,4366
0.02,2518
0.04,4367
0.05,4368
0.06,4369
0.08,4370
0.09,4371
0.1,5728
0.12,4373
0.136,4374
0.15,4375
0.17,4376
0.18,4377
0.2,4378
0.25,4379
0.3,5729
0.39-0.7,4381
0.4,5730
0.40,4383
0.5,5731
0.55,4384
0.5–0.7,4385
0.6,5732
0.7,5733
0.8,4386
0.80–0.90,4387
0.9,4388
0.96,4389
1,11013
1.0,5735
1.1,5736
1.2,5737
1.5,5738
1.58,17
1.6,5739
1.66,5740
1/67th,5741
10,11014
10.10,5743
100,11015
1000,5745
10000,5746
100000,11016
101547,5748
101821,5749
103531,5750
104303,5751
104991,5752
105,5753
106280,5754
108,5755
108000,5756
10:00,11017
10:13,11018
10–15,2528
11,11019
11-year,11020
113,5758
1143772,5759
115916,5760
116250,5761
1176394,5762
118572,5763
119490,5764
12,11021
12-year-old,2531
120,8803
1200,5766
120000,5767
120155,5768
121054,5769
121110,5770
121800,5771
12280,5772
123,11022
12410,5773
125,8804
1255925,5774
1266546,5775
12770,5776
12th,5777
13,11023
13.99,5779
130,8805
130000,11024
1308–1320,8806
1318255,5780
136,5781
1376957,11025
1380121,5782
13th,5783
14,11026
14-v,8807
14.3,5785
14.7,2533
1400,5786
140247,5787
143000,5788
1450,5789
146923,5790
147,5791
147639,5792
148095,5793
1496,5794
15,11027
150647,5796
153084,5797
1539,22
1540,5798
154040,5799
154255,5800
157th,5801
15q13.3,2535
15th-century,5186
16,11028
160,5802
1600,5803
1600s,5804
1602,8808
1607–1677,8809
1617,8810
1618,8811
162000,5805
1625,8812
1630–1635,8813
1638,11029
1642,23
1644,8814
1652,8815
167160,5806
1673,8816
1683,8817
1687,8818
1698,8819
16p13.1,2537
16th,11030
17,5808
170,5809
1702,5810
1711,5811
1733,8820
1736,8821
1737,8822
1739,8823
1744,8824
1747,2539
1749,8825
175,11031
1757,8826
1759,8827
1760,4392
1761,8828
1763,5812
1767,5813
1770s,5814
1772,8829
1773,8830
1776,11032
1779,8831
1780s,11033
1781,8832
1783,5815
1786,11034
1789,11035
1790s,24
1793,25
1798,5816
1799,8833
17p12,2541
17th,11036
18,11037
18.72,5818
180,11038
1800,5820
18000,5821
1800s,11039
1801,8835
1804,8836
1806,11040
1807,11041
1809,11042
1809–1865,28
1810,5823
181000,5824
1811,11043
1812,5825
1813,5826
1814,11044
1815,11045
1816,11046
1817,5827
1817–1862,29
1818,11047
1819,11048
1820,11049
1820s,5830
182265,5831
1823,8838
1825,5832
1826,5833
1827,5834
1828,11050
1829,5835
1830,11051
